Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机和网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27690
Text: 大家好，欢迎收听我们最新一期专题节目，我是主持人希文，我是麦教授。对，今天听到这个音乐啊，这首曲子叫做凯尔 moven，也就是卡尔默罕一切都开始的地方。对猎魔人一代开始的地方，也是我们三代开始的地方，也是这里对，也是也是麦教授集合之旅开始的地方。对，那么今天呢我们就是满足大家这个心愿啊，, Start Time: 70615
Text: 我们又请了麦教授麦蒙吉。对，还有上次我们曲畅老师的团队对史诗图书团队啊，对然后来为我们介绍一下，详细介绍一下整个猎魔人这个大陆上发生过什么事情？一个世界观对一个世界观体系的一个介绍。对，那么请曲老师介绍一下的地方。嗯，哼我好像上次才跟大家就是就是见过面，我是那个呃曲畅呃，, Start Time: 149510
Text: 是做过那个冰与火之歌系列的翻译，然后成立了那个反对那个史诗图书，还专门制作那个呃奇幻的那个史诗作品。其中那个猎魔人就是我们今年就是最棒推出对呃重磅推出最重要的一个作品。呃，现在呢已经出到了第二卷，然后后面几卷呢，还就是在那个制作当中。然后呢，旁边呢是我的那个同事，, Start Time: 180590
Text: 嗯，周韵起，还有赵林嗯，还有招呼。大家好，主持人好，我是邹运琪，我是曲畅的同事。现在我在嗯史诗图司主要负责这个猎魔人系列小说的嗯嗯文字编辑工作，对我们我们都爱称为运气哥了。对，嗯啊大家好，我是呃我是赵琳。然后今天也是学校的同事嗯啊驾驶室图书。但是当然猎魔人呃不是我主要负责的，, Start Time: 207230
Text: 我主要负责做呃另一部实习幻作品。第一律法嗯所是没关系，因为为您对游戏特别了解，而且刚才指导一下我们这具具体怎攻略妹子这样的事情，我们们都觉得很惊讶。对对对，而且另外我我插一句就是猎魔人。嗯，之前有两部那个短篇集，这个嗯赵林都都是参与翻译的啊，太棒了。所以今天是一个非常强大的阵容啊，, Start Time: 237950
Text: 非常强大。对我估计很多朋友，因为这一次主机版本的嗯就是整个推广做的特别特别的好。所以有很多玩家主机上的玩家，其实是第一次接触到猎魔人。哎，是看来前两部都不了解。对，然后但是这已经是该系列的第三部作品了。是，所以说呢估计很多朋友即使玩通了游戏，也可能对世界观并没有那么的了解。, Start Time: 262250
Text: 那么今天咱们就开始，然后从头介绍绍一下这个猎人的世界界怎么回事事。好且嗯，好的，那么这个部分由谁来主理呢？那个呃先嗯这样呃，先由那个周运琪同学先进行那个总做介绍，我来做补充介绍。因为他是那个本书的文字编辑是最熟悉这个书的太棒了。运气哥，有请运气哥，有请运气哥，, Start Time: 283390
Text: 掌声好的压力很大，真有掌声。我的六个人对这个世界其实怎么说呢？就是说说他的这这个世界观总体来说其实它是很大的。但是嗯就是游戏发生呃，就是游戏和小说这个剧情它主要发生的在就是发生的地点相对来说确实要小一点。嗯，因为它主要是在就是在那么一块大陆上，而且这个大陆现在就是就是作者是没给出名字的，, Start Time: 308610
Text: 大陆没有名字，一个一个就是名称说是说是呃是在某某世界里面是是那么一个大陆。嗯，然后他这个大陆的时间大概是其实从总体来看的话，大概也也就是呃三千年年左右的那那个时间吧，就是大陆的历史一共三千年左右。对，但是为什么我有一个提问，就比如说里面讲业内法生日的时候，, Start Time: 338040
Text: 好像说的是一二七几年，这个纪年又是怎么回事呢？这个今年就是从小说内容来看的话，它应该是属于那种尼布加德帝国的那个纪年啊。因为就是就是做一个最大的剧透吧，就是说呃说实际上直接就来剧透，请说请说请说呃请说呃，因为这个剧透我觉得其实也算不上是剧透了。就是就是到了最后那个整个大陆，, Start Time: 363540
