Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭幕安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 没有。嗯，大家好，伴随这首 accuse family，我们开始今天的节目了，我们这是一期最新的家 duve for 专题节目，我是主持人西蒙。然后大家好，我是麦教授。对，这次又是阴阴授来讲讲了。对对，但是这个还是刺客信条，上次大革命好像对，没过瘾。对，我们一直许诺当时说，, Start Time: 69505
Text: 哎呀，我们做了一期就是比较应景最新的大革命。这一期我们就谈谈找机会，要谈一下这个这个刺客信条整个大的背景了。对这个大的背景里面来得明景里有一个最大的核心，就是玉必赋予了刺客信条最有生命力的一点，也就是他的这个阴谋论的体系。对对对，他整个就是越来越明显的走向阴谋论这个方向了。, Start Time: 145810
Text: 对那所以我们首先我们要提一下这个什么是阴谋论，对到到底什么阴阴谋论。对，就是阴谋论论，怎么呢呢？就是说呃我们觉得吧就是很多人会嗯现代其其现在会会认为我们整个历史啊，我们整个社会呢并不是像他表面看起来那么简单。他其实他背后呢是吧有人在下一局很大的还是一盘很大的棋，, Start Time: 169450
Text: 每次出现一些时事的一些爆发的事件。比如说那 MH 三七零啊，这些航班，他对对失踪。对，然后都会微博上大家可以看到很多人的阴谋论说，对，但是是不是有谁在操纵之类的？对对对，网络这个尤其现在网络啊，这微博就是很多东西传播的很快。大家就是大家很多时候脑洞有些人脑洞开的很大，, Start Time: 197150
Text: 他会想到很多特别奇妙的，但是好像想想好像有点道理的这样一个其但多多少少都有点这个阴谋论的意思。嗯，其实阴谋论对其实大最大的一个特征呢，一个很大的特征就是在于他相先事情不像表面上看进视去那么简单，他总是后面一个特别深层次特别复杂的原因。嗯，然后然后他可以说得通。, Start Time: 219590
Text: 那但是呢还有一点呢，就是他首先他是有一个他，但是他却违背了一个很重要一个叫做奥卡姆剃刀的原则，他背是阴谋论，违背了这个原则是吗？对他违背了这个原则，而这个原则是一个嗯在科学界，尤其是在科学家界，怎么说呢？就是一个挺重要的一个一个经验，一个总结，一种前人的智慧。, Start Time: 240070
Text: 怎么说呢？也就是说也就是说嗯简单来说就是奥卡姆提到的理呃这个原则。就是说如果呢对于一个同样的一个现象，我们有两种不同假说假说 a 或者 b 都能感觉都能成立。对，都能成立。那我们一般会选择呃较为简单的那一种，或者说较为简单那种。一般来说是对的哦，这是一个比较经验的东西。, Start Time: 262260
Text: 其实一个规律就是一般简单一点的是对的。对，说玄乎一点，就是他是一个一个呃规律，或论说大是现在呃对呃对以前人类一些知识的经验的总结吧，或者是这个东西呃，较之所以叫奥卡姆提到理论呢，其实是当时在英格兰地区叫一个奥卡姆，一个修道院里头一个教室。他在他著作中提出来的，, Start Time: 284340
Text: 并不是这个人叫奥卡姆。但是就是说这个这个理论其实也他并不只有他一个人提出来过。很早以前呢这个呃亚里士多德啊不是亚里士多德，对亚力士多德。他说过，他说这个自然界呢一般会选择最短的道路，嗯，啊这也是他一个体呃这个而且是牛顿。牛顿他也觉得说，如果一个原理啊既真实又可以足以解释自然事物的特性，, Start Time: 306460
Text: 那我们就不应该接受比这个还要多的原因还要多的原因就是说如果嗯呃这个怎么说呢？我们可以举个非常简单的例子，就是说呃我们说苹果掉到地上，那为什么苹果会掉到地上？那我们知道我们现在科学给我们的解释是因为有地心引力，所以苹果掉到了西。嗯，那我们也可以比，比如我不给给解释说，, Start Time: 331570
