Text: 猎魔人第三卷精灵之血，须知剑于釜之时，已近其为寒狼风雪之纪元。白霜与白光之时，将至，即为疯狂与轻蔑之时代。 ted darett 终结的时代，世界将于寒霜中死去，并于昔日下重生，那亦是喷 e chair 上古之血洒下之种。重生之时，此种不会萌芽，却将燃起烈焰 ice to us，, Start Time: 22700
Text:  icy 并为必然之事，留意征兆欲之征兆。为何且听我一言？首先， encet 精灵之血将淹没大地摘自女先知伊斯林之寓言，城镇一片火海，通往护城河，与沿岸台地的狭窄街巷喷出浓烟，与灰烬烈火吞没了紧簇的茅屋，舔舐着城堡外墙。西边的海港城门处传来尖叫，与恶战的喧嚣工程，, Start Time: 60620
Text: 锤撞击城墙的梦想也愈发洪亮。袭击者出人意料地包围了他们。三五士兵一小撮手持长戟的阵民，几名来自商人工会的弩手组成的防线被轻易冲破。对方的战马配着迎风飘扬的黑色马饰如妖铃一般，越过防线起手，寒光闪闪的利刃将逃亡。守军的头颅尽数收割。希瑞感到身后的骑士猛的一踢马刺。, Start Time: 102850
Text: 他听到他大喊，抓紧抓紧了。其他身穿辛特拉服色的骑士也赶了上来，与尼弗加德人缠斗且战且退。希瑞用眼角余光瞥到战斗的一幕，黑色与金蓝两侧的斗篷在钢铁洪流中疯狂旋动，刀剑砍在盾牌上，发出金铁狰狞，战马厉声嘶吼，还有喊杀声，不是喊杀是尖叫，抓紧了。我害怕每一阵颠簸，, Start Time: 136835
Text: 每一下拉扯马儿，每一次腾跃双手都会传来疼痛，而他又必须攥尽江绳，双腿被磨得生疼，却找不到马凳踏脚，双眼被浓烟熏出了眼泪，搂紧他的胳膊令他窒息，让他喘不过气，肋骨也被压得隐隐作痛，尖叫声不绝于耳。他从没听过如此高声的尖叫，他们到底做了什么？能让男人叫成这样，, Start Time: 175800
Text: 怕得无以复加，怕得浑身乏力，怕的声音更金铁焦鸣声再度传来，还有马匹的嘶鸣与鼻息，房屋在西瑞周围旋转不停。突然间，他又看到房屋喷出烈焰，而在前一刻，那儿还只是条泥泞的街道，散落着尸体和居民逃亡时丢弃的财物。与此同时，他身后的骑士突然喘息着，咳嗽起来，鲜血洒在攥进缰绳的双手上，, Start Time: 209245
Text: 更多尖叫声响起，剑士呼啸飞过发倒吧，他摔在地上，盔甲砸得他死去活来。沉重的马蹄从他身旁踏过马副和磨损的镀带，掠过他的头顶，然后是另一匹马的马腹，即飘动的黑色马饰，一阵吃力的吭吭声，活像伐木工正在劈木头。他这儿没有只有彼此撞击的技术，一声呼喊，阴雅而低沉。一个庞大的黑色物体砰地倒在他身旁的泥浆里，, Start Time: 249660
Text: 鲜血四溅，一只套着护甲的脚在痉挛在踢打硕大的薛刺戳进地面一下拉扯，有人用力拉他起身，让他坐上另一副。马鞍是抓紧了，又是足以让骨头散架的狂奔发疯似的疾驰，他的双手和双腿拼命寻找支撑马儿人力而起。抓紧了，可他找不到支撑，找不到找不到摸到的只有鲜血。马又倒了，他跳不开，, Start Time: 293310
Text: 躲不过没法挣脱裹着链颊，将他牢牢抱紧的手臂，更没法避开，淋了他一头一肩的热趣，一阵颠簸烂泥啪啪作响人和马猛地撞在地上狂奔。这么久突然停下，反而更让人发毛。马儿发出痛苦的喘息和嘶鸣，试图站起不远处有马蹄铁咚咚踏过地面巨毛一闪而过，还有黑色的马狮和土邦，有人在呼喊街道熊熊燃烧，, Start Time: 336520
Text: 仿佛咆哮的红色火墙，一个身影应火而立，那是一个身形庞大，比燃烧的屋顶还高出一头的棋手。他的战马照着黑色马翅昂首阔步发出一声嘶鸣，起手俯视着他。希瑞看到。他的巨盔像一只正义的猛禽，双眼在盔缝中寒光闪烁。他还看到他低垂的手中，握着一把阔剑，宽宽的剑身，反射着火光起手目不转睛，, Start Time: 378695
Text: 昔瑞动弹不得他身后的骑士已经死去，但双臂仍紧搂他的腰，浸满鲜血的沉重，身躯压在他的大腿上，让他倒在地上，无法起身恐惧，冻结了希瑞的身体，强烈的剧意令他肠胃翻腾，听不到桑马的嘶鸣，烈焰的咆哮垂死之人的哭喊和响亮的鼓声。唯一存在的唯一重要的唯一有意义的便是恐惧恐惧。, Start Time: 417995
