Text: 哎哦哎哎，最新鲜热辣的游戏资讯，你不在会儿等啥呀？最猥琐思密的玩家先生出来给我去打游戏了。难上啊，欢迎收听史上最专业的游戏广播电台，家里有别的买去。 oh no， i will like this my chetty。大家新年快乐，我是主持人西王。大家好，, Start Time: 1390
Text: 我是忧郁的艾迪。大家好，我是黑羊。大家好，我是暴走。大家好，我毛毛。大家好，我是安德杰尼斯，开始定场师，这有定场师，专门是为杨哥定制。而且我又回归当年老职工的时候那种风范了。好的，开始啊。金色盾牌照黑杨中华警魂好儿郎退居二线卖游戏重新待客，但名利强推驾驶俱乐部就是不走寻常路。, Start Time: 43190
Text: 酒桌上面常走心忠言，逆耳泛黄金牛桌牛逼牛逼。嗯，新年新气象啊，大家听到这期节目的时候，应该是二零一五年的一月一日，有可能能延延。有可能会。但咱们录这一期节目确实是在二零一四年的最后一天，我特别羡慕在十二月三十一号过生日的朋友，比如说像我们的好朋友，大 s 老宋，, Start Time: 73180
Text: 老宋对上过节日又过年。老宋宋经常说些日志式戏戏，对你看我就特别羡慕他。为什么他今天他新买游戏到了他今天又过生日，然后明天还休假，可以说是又娶媳妇。又过年年，他祝祝他日日乐乐，说到了娶媳妇儿。今天要祝贺另外一对新人，也就是我们的编辑孙浩伦同学。哎，今天和妻子领了证，, Start Time: 99480
Text: 非常常非常的祝贺，他，对，希望他不要反抗。宋有一种主持春晚的感觉，对，真有点啊。今天是对你看今天什么鸡和牛群，鸡盒泥萍什么都来了。对，朱军今天主要是没来中军领领，但今天主要是以杨哥为主，我们为辅哎，聊一聊这个跟五年关系。对，而且而且咱们为什么找杨哥当主打？, Start Time: 121560
Text: 因为二零一五年不是羊哥老。对对，有延年。二零一五年羊年羊年对，一年年特别羊年。对，所以呢我们这唯一跟羊有关系，就是羊哥了。对对，就聊一聊一阳年。对你嗯嗯热点新闻综述，我希望虽然呢是新年节目，但是还是依旧按照常规说一说新闻吧。首先我说一说 PS 的相关消息，, Start Time: 144230
Text: 大家都问机核王，你们为什么不发评测呢？因为很多站提前发了评测，我们再发没有什么意义了。你们也都知道啊，你说哪儿游戏都能玩。这个机器呢也是跟所有的地区是同样的版，那个不是版本啊，是同样的硬件设置。所以说就是买买买吧，而且马上说话就就那个春节了。咱要是春节之前，, Start Time: 182990
Text: 肯定有好多公司年会，你赶紧让你们公司领导财务都买批点预算买点的机器。你说万一大屏就是你的，你说你抱回家多高兴啊？对啊，是啊，我觉得很多朋友们如果没买 PS，真的可以考虑出手了。对，因为反反，反正从我个人的角度来说，我觉得这是很良心的一个机器。对，但是要打预防针的。, Start Time: 209310
Text: 还有一点啊。对，是虽然说发布会上公布了很个游戏，但是呢因为审批的原因，到首发那一天，可能没有什么光盘版的游戏会出来。对，就只有一些小的游戏，随机的那种游戏，还有一些下载版的。对，因为审批这个事儿就是跟微软一样，不管锁不锁区，反正游戏都并不是可以很顺利的通过。, Start Time: 231830
Text: 嗯，不过那好事多磨，你看那个哪吒他妈声音哪吒，你看哪吒特威了嘛，三头六臂尤家也跟妈妈杜也呆了三年呢。所以这样咱咱不不能操之过急，细水长熟嘛，我觉得也是千万别着急，着急又顺易出问题。其实虽然说现在的机器大家都知道了，呃，不锁区，然后硬件设置都一样。但是问题是，, Start Time: 256280
Text: 其实现在的局势并不是特别稳定，不是不是不是很明朗啊，不是很明朗。对之后的事情。对，就是希望大家还是别太欲速则到达，也不要去太宣扬和对这件事情平平。在网络上评价太多的那种，其实不是特明朗，我觉得一定要支持国行，尤其是要支持国行里的一些游戏。比如说 DC 嗯，, Start Time: 276960
Text: 大家一定要一定要试一试试是吧？我还得说，比如说那个街机怀旧陈列馆，嗯，他猜这个系列其实一直是日服有，这个港服和美服都没有。嗯，但是他这回国服有这个，我感觉真的一下就跟日本那帮太军们平起平坐了。对，确实前那个游戏，而且还都是汉化成中文的那个界面上。你你想想他到时候弄在排行榜是神州大地上，, Start Time: 301150
Text: 你说这神州大地上，你说你能排个前十，哎，这多牛逼啊。对，说说下载游戏，好像他说那服务器是一，我看新闻是一月九号，好像就是不是开服有呃，一月八号，一月八号在八号，八九号开开服了，是吗？对对对对对，到时候可以试试一下，嗯，到时候可以试一试一下。我们希望也有机会，, Start Time: 327890
Text: 到时候可以评测一下。对，完了有一个预言了，真是很有可能微软会在未来对自己的开锁是吗？也进行调整，有可能我开锁太棒了，真的不要当成官方的消息。但是我觉得是预言预言，那已经买了的也可以解锁是吗？嗯，已经买了也可以。对对，咱他那个锁区不是有人评测换硬盘是可以那个就是可以变变成那个其他的那个，, Start Time: 346720
Text: 请大家收藏。本期啊。对，就说明它是一个软软锁区的一个打个不设事呗。对，就一二三四五呼开锁。对对，咱们这件事就说到这儿了， ID 你要想说什么来着？比方说就是那我们现在港版的机器也能登录国服吗？将来可以啊，应该是可以的。嗯，那就，但是没有经过测试的话，就是没有我无法就是以正规的方式回答你这个问题，, Start Time: 373040
Text: 就我自己觉得应该是可以的，重新注册一不就完了吗？不是，他每个服务器都必须重新注册，是啊重新重新注册就可以了。你得换一下语言，然后才然后再重新注册。那这事儿差不多这样了，我觉得挺好的事儿。对，好挺好。所以杨哥以后要娶道的话，咱也卖点国豪，而且没问题，也没问题。, Start Time: 400140
Text: 对嗯，怎么着？成龙他们怎么着说黄飞鸿怎么说，国货当自强啊，那对国货当自强，做个好男孩，对中国少年郎。对对，所以呢哎对，关于这个首发不是一月十一号吗？还有一个帮咱们的一个听众朋友啊，稍微做一下宣传。然后因为他是那个索尼的官方店的，好像是广州的那个索尼的官方店，, Start Time: 419480
Text: 然后他们搞了一个活动，我觉得挺有意思的。他这活动啊是叫索尼时光机，然后什么意思呢？就是不是好多八零后，就像咱们这么大的玩家们，不是都有小时候有好多玩具嘛，还有索尼老的机器。然后他们想赶首发那天啊，在他们那个店里头搞一个类似那种像小展览似的博物馆，是那个对对小博物馆，, Start Time: 443250
Text: 就是大家拿点自己的那些老机器器玩具，而且且好支持你带带好多小。那咱们小时候玩的那些玩具，就是咱们上秀秀一下下聊的那个不玩游戏，玩什么，里面说那些小玩意儿什么的，好星什么的。对，完了时间是这个二零一五年一月十一日，就是 PS 首发那一天啊。然后上午十点到晚上六点钟。, Start Time: 464520
Text: 在广州市天河区天河路三百八十五号太古汇一楼三一座的三楼露天平台花园索尼直营店举行。完了他们现在搞了一个那个就是征集你和 play station 的故事啊，可以按照那个投稿的投稿，姓名、电话为邮邮件主题的形式。然后把你一些玩具的照片啊什么的，然后投到这个 jason 点陈 and sony 点 com 点 CN。, Start Time: 485080
Text: 对，真我挺想参加这个，我也挺挺想支持的。虽说我去不了了，但我感觉我的这种殷切期盼，通过 email 还有冰冷的电脑显示器的荧光屏和他们在一起，我觉得你就特适合去参加。这样。对对，因为你有好多收藏 PS 的，不论主机还是周边你喜玩老的。嗯，我觉得大家如果要是在广州的都过去，, Start Time: 513710
Text: 或者说出差去那边办事儿的时候，可以过去搂一眼啊，可惜我们去不了，其实挺想去的，但是因为我也是挺可惜的，前阵刚回来要赶上那多好去看看。对对对，好，那咱们说说别的新闻，大家打出来这个牛仔裤头有一种暴走的感觉，请暴走，说一说向往自啊。呃，最近有一款日系的经典的恐怖游戏，, Start Time: 536920
Text: 准备重启就是超人超人便宜的钟楼。最近那个钟楼一钟楼一和二的制作人何悦一二三接受一个采访，说准备重启一个叫剪刀计划。这剪刀计划对这个游戏据说是钟楼的精神续作，因为他毕竟出来了，不能接着用那个 title 哦啊那么吓人。对，钟楼在当时十六位机平台上确实做的很吓人，, Start Time: 565220
Text: 他的主角因后攻攻击能是逃跑，躲躲虚弱，而且他还是多结局。对对对，然后呃何野在采访的时候也说了，说本座要重现当年钟楼的感觉，就是强化这个逃跑闪避，嗯，就是强盗这非战斗的这个元素挺期待的。我觉得这样挺好。你像是嗯一四年 evo，毕竟出来以后，又把那个恐怖游戏的那种惊悚感觉给带回来了。, Start Time: 591680
Text: 而明年像这种老牌的这个钟楼又带回来了，嗯，真的是特别奇待。而且你看他直接他他运名字叫那个剪刀计划玩钟楼，基本上你看玩一代、二代、三代他们也都会有一个剪刀手出来反派的那个武器，就是剪刀嘛。但是他这个说了平台平台哦，对了，网说平台是 PSV 啊 p 而且他说会大量运用这个触摸的这个元素，, Start Time: 619010
Text: 明是明年的嗯发售日还未定哦。但明年可能会有每隔一阵会放出一些截图或者影像吧，只有 PSV 吗？对，目前是工作者， PSV 期待 PSV 需要游戏去。对，而且你而且你说这恐怖游戏，你拿整机玩的时候，你这种感觉比你坐在电视前玩那个家用机那种，还是还是递增的那种恐惧感。, Start Time: 644720
Text: 嗯，再加上你可能有有人玩整机习惯，戴着耳机玩。你那么着的话，你说你特吓人，恐惧立体声环绕。嗯，对，另外一种挺恐怖的体验。 DSV 上之前那个像素，那恐怖那个 long survivor 不就挺吓人的吗？我都不敢玩，挺好玩的。那个是嗯戴耳机肯定就特害怕的，他那结局还特别多，, Start Time: 666920
Text: 而且是吗？我 ID 什么都玩，果然是我。对，因为那是免费游戏嘛，哦原来如此。好，请说下一个新闻啊，还有一条就是铁拳的铁拳系列的制作人。这个原田盛红在前段时间去韩国呃，做铁拳铁拳七街机版的那个推广的时候呃，接受一个采访。他采访的时候提到了一下，之前一直被尘封的一个游戏，, Start Time: 686480
Text: 就是街霸对铁拳。然后呃因为开始是和卡普空那个铁拳的结霸做联动，然后之后一直没有消息了嘛。然后他在采访的时候，他提了一下，说是现在那个游戏的基本系统架构已经完成。但是现在想找一个合适的时机来放出来。但是大家知道明年是铁拳七要上市嘛，铁拳七的街机版和街霸基版。, Start Time: 711280
Text: 他说上市以后还会做一些调整和修修补。然后他但是就是他没虽然没有具体提这个上市时机，他他说了一句说，因为毕竟是和街霸系列联动的嘛，而且街霸五就要出新作。他说如果是在街霸舞之后推出这款游戏的话，会觉得很很弱哦。对，就觉得风头被抢了。对对对，觉得所所可个人我推测可能会抢在街霸五之前哦，, Start Time: 734490
Text: 能玩到这款游戏。其实其实我特别期待，因为他肯定会把街霸那种二 d 那种输入入法会改成铁拳的那种，像铁拳那种也有母鸭的。对，也有是那种特别诡异的那种，多少帧之内磕摇杆输入这些，主要期待这个怎么在三 d 游戏里边搓薅。对对对，你你想想之前街霸还真是啊，还有那种转的场景。, Start Time: 762790
Text: 对你像之前艾瑞 a 给街霸出过 EX 系列。对，但他只能说是还是二 d 玩法，只不过就是某些必杀技时的时候，他给你把街霸转成三 d 街霸四的处理方法差不多。嗯，对，差不多是这样。所以这个我估计好多老街霸迷的话，比如像杨哥哥街霸对游戏，杨哥就得重新适应他的这套操作。, Start Time: 786060
Text: 我以前玩过 EX，但 EEX 铁铁拳完全不一样。铁拳他有位移街霸 EX，没有位移对铁拳，他可以来回转三十六来回转的那个杨哥。那如果这个就是这个原田他们这版街霸对铁拳出来的话，你最喜欢使哪个拳？不是我最喜欢，我不不管是使使，那你说是铁拳是吗？就铁就是街霸，对铁拳，, Start Time: 805600
Text: 那肯定是石肯。因为我不管是街霸还是铁拳，我只使这一个人，对，铁拳里没有这个人，我就是街霸里使使这个人，但是他他就喜欢他他一个融合吧，他们俩对战的那版里面铁拳对街霸，对，那那叫石肯。但是说我我刚才不会存现在对暴走那个那个就是质疑，就是怎么搓搓那波什么的。因为我要使声风拳肯定是全方位的，, Start Time: 826520
Text: 它不不存在那方向问题，你知道吗？所以我这这东西对我影响不大。好，是的，这个系列之前没有出过吧，没有，这是崭新的，应该是铁拳和其他系列联动的第一款。哎，不对，不然。然后之后不还说有一款是跟那个口袋联盟，对，这个他也提了，那怎么玩啊？那个不知道，反正我我真的特别想玩，, Start Time: 847290
Text: 这应该叫授权。我觉得对授权他现在现在放出消息，就是用用街霸，不是用铁拳的系统来还原口袋怪，就是把铁拳战斗。对哦，也是一对一的这种格斗，然后但是觉得都是口袋怪的。而且他之前采访的时候说，就是任天堂那口袋的那个制作组，对他这边的那个什么限制哦，你提出了很多的想法，, Start Time: 873280
Text: 提出了二十多个想法，只否了一条。哦，对，所以以特特开放的对，很开放。说他他否的那条，就是他们说我们不要怪我们要用那个训练师来对战，就直接被 pass 了。而且你看南梦宫跟任天堂关系一直特别好像他们帮助做那个星际火狐。对，还有街机版的马车一样的南梦宫卫做的哦。, Start Time: 896020
Text: 你这要是找咪德怪，做那个真人，快打跟口袋，任天堂跪那弄了吧。对，那说到任天堂了，你来说说云堂新闻吧。任天堂圣诞节那天嗯 VU 上公布一款付菲下载游戏，这个我肯定特别有感触，特别有情怀，就是打野鸭，打野鸭，打野鸭出来压嗯，打野鸭。你玩的话，这个我听那个丁辉说，, Start Time: 914840
Text: 好像你得用有体感去操作，对得用力的那个双节棍里面那遥控来瞄着玩，这个我特别喜欢。因为我我记得你拿 v 那能不能当那个瞄准枪什么的呀？这应该也有有那个，因为之前不是之前 v 他那双节棍，它那遥控器不是出过那种枪托吗？我觉得使那个玩意会更有代入感。对，更像以前的 FC。, Start Time: 949240
Text: 因为打野鸭游戏，你像我玩大乱斗的时候，基本上我也老使那个打野鸭这个角色，然后提起这游戏，我想起来就小时候特别有意思一事儿。那时候是我们写那个作文儿，然后班里有一同学写了，就是说跟父母在也特别愉快。周末他写的是他们一家子一块玩打野家，结果写完之后，老师就一直那点评说这个出出发的视角特别新颖，, Start Time: 971320
Text: 然后呢之后再写作文，好多同学就都写玩玩游戏，跟父母片玩游戏。然后写的基本上你看大家写的都特别雷同，都是玩俄罗斯方块居多。然后但是哪边也没有超越说这打野鸭演家这个或者玩那个五五木连珠，那个五子棋什么的，有个花式撞球。那我们家小时候，我爸妈就是什么都玩，跟我们们没有。, Start Time: 997080
Text: 嗯，我跟我爸玩就玩玩玩练字儿。我这其实你要说玩，你要说玩那种光枪射击游戏，杨哥肯定不玩大野压杨哥玩竞技。对对，打靶那个嗯打靶归来，嗯，打野鸭玩过狂玩那会儿啪。你说那游戏他没玩过玩玩玩那那个你说你紧禁我，那我没没玩过，但是光枪类的那种，最早就是打打野鸭嘛，还有那个那个 viod 杠西部牛仔好多呢，, Start Time: 1017720
Text: 当时是那那就是那个那部牛仔叭叭走出来。对，还带裤子掉了有仙人掌，那屋是。对对，我记得早老挣什么都不记得了，现在什么早老真的好多事儿都不记得也太差了。但在我就记得就是以前闪光就特别闪光，特别耀眼的东西才记得对他记得杨哥那不叫那个那种七七七七珠里里话话说是太阳泉。, Start Time: 1043100
Text: 我觉得说真的就是大家赶紧抓紧跟我说话，机会没准归肉，我就不认你是谁呀？我操爱森海默了，我操这影都特别严严重，样次忙完回来还得重新认识。对，老年痴呆了又跟我握边手，我觉得今年痴呆，我觉得严格这行为又特别像那个德鲁巴利摩尔演的那片儿跟演的傅德勒演的个初恋五十色次。, Start Time: 1061700
Text: 嗯，反正就就都都不记得了，挺模糊，记忆力差差，心态太差了。那咱趁着杨哥没失忆，咱们赶紧跳过新闻环节吧。咱们跳过新闻环节吧，近期热门游戏。嗯，顺便聊一聊这个最近玩什么游戏吧，我觉得特别开心。今天艾迪来了，特高兴，是不是碰见你的知尘世中的知己，我特别想在这一期翻盘，, Start Time: 1082270
